define;sd
DEGUB_EXPR;1
xmlGetDocEntity;1
xmlUCSIsBopomofo;1
xmlXPathNsLookup;1
xmlValidGetValidElements;1
bottom_list;28
xmlXPathTrailing;1
xmlStrstr;1
xmlXPtrNewRangePointNode;1
xmlReaderForFile;1
xmlCharEncCloseFunc;1
xmlHashScan3;1
xmlTextReaderExpand;1
ENOTSOCK;1
xmlHashCreate;1
htmlCreatePushParserCtxt;1
xmlNewMutex;1
xmlFreeParserInputBuffer;1
xmlUCSIsMathematicalAlphanumericSymbols;1
EFBIG;1
USE_STRNCASECMP;2
DEBUG_REGEXP_EXEC;2
xmlFreeElementTable;1
DEBUG_GRAMMAR;1
LIBXML_UNICODE_ENABLED;172
xmlDebugDumpNodeList;1
xmlSAX2CDataBlock;1
xmlTextWriterWriteAttribute;1
HAVE_MALLOC_H;1
MAX;1
xmlUCSIsHangulJamo;1
xmlBufferFree;1
xmlSchemaWhiteSpaceReplace;1
__MINGW32__;15
xmlNanoFTPCleanup;1
xmlTextWriterEndPI;1
xmlValidateOneElement;1
xmlSAXParseMemory;1
xmlParseElementChildrenContentDecl;1
xmlXPtrNewLocationSetNodeSet;1
QUALIFIER_WIDECHAR;1
xmlGetID;1
xmlFreeTextWriter;1
xmlSAXParseMemoryWithData;1
xmlTextWriterWriteFormatRaw;1
xmlGetGlobalState;1
xmlAllocOutputBuffer;1
xmlUCSIsMalayalam;1
xmlXPathInit;1
_WIN32_WCE;28
xmlPushInput;1
xmlRelaxNGFreeParserCtxt;1
xmlCheckLanguageID;1
xmlSchemaSetValidOptions;1
xmlValidCtxtNormalizeAttributeValue;1
xmlFreeNs;1
xmlXPathNormalizeFunction;1
xmlGetNoNsProp;1
HAVE_STRINGS_H;2
E2BIG;1
xmlNewTextWriter;1
xmlRelaxNGSetValidErrors;1
xmlNodeAddContentLen;1
xmlRegisterDefaultOutputCallbacks;1
LIBXML_LZMA_ENABLED;2
unix;10
EBUSY;1
EINPROGRESS;1
F_NDELAY;1
TRIO_COMPILER_XLC;9
htmlNodeDumpFile;1
xmlRegExecErrInfo;1
TRIO_PLATFORM_AIX;4
__STDC__;6
xmlXPathModValues;1
xmlXPtrRangeToFunction;1
xmlCatalogIsEmpty;1
xmlTextReaderClose;1
LIBXML_FASTCALL;2
QUALIFIER_SIZE_T;2
xmlLoadSGMLSuperCatalog;1
xmlCopyChar;1
xmlSchemaNewMemParserCtxt;1
xmlMemStrdup;1
xmlGetDtdQElementDesc;1
LIBXML_ZLIB_ENABLED;2
xmlValidatePopElement;1
xmlXPathLocalNameFunction;1
xmlParserHandleReference;1
xmlParserValidityWarning;1
xmlMemRealloc;1
xmlNanoHTTPInit;1
xmlCopyNamespaceList;1
xmlUCSIsSpecials;1
xmlSchemaGetParserErrors;1
xmlParseCDSect;1
xmlDOMWrapRemoveNode;1
xmlUCSIsLatinExtendedA;1
xmlHashFree;1
ENABLE_REDEFINE;1
xmlCopyDtd;1
xmlNodeListGetRawString;1
HAVE_VA_COPY;8
xmlUCSIsKatakana;1
HAVE_ARPA_INET_H;2
_XOPEN_SOURCE;4
xmlAutomataNewCountedTrans;1
bottom_parser;120
xmlNewDocNode;1
htmlParseDoc;1
xmlRelaxNGInitTypes;1
xmlUCSIsMiscellaneousMathematicalSymbolsA;1
xmlXPathFreeParserContext;1
__CRTL_VER;2
TRIO_INT16_T;2
xmlCreateURI;1
xmlBufferWriteCHAR;1
xmlStrcat;1
bottom_xmlreader;94
xmlSchemaFreeParserCtxt;1
FORMAT_ERRNO;1
HAVE_SRAND;1
TRIO_COMPILER_BCB;28
TRUE;1
xmlXPathNodeSetRemove;1
xmlTextReaderGetParserLineNumber;1
EMLINK;1
xmlUCSIsKhmerSymbols;1
isascii;1
xmlParseMarkupDecl;1
xmlThrDefDeregisterNodeDefault;1
bottom_nanoftp;24
xmlHasNsProp;1
ECANCELED;1
xmlAddPrevSibling;1
HAVE_STAT;21
TRIO_GNU;3
xmlGetDtdAttrDesc;1
htmlGetMetaEncoding;1
USE_SYS_ERRLIST;2
xmlSchemaSetParserErrors;1
xmlUCSIsEnclosedCJKLettersandMonths;1
xmlGetIntSubset;1
xmlNextElementSibling;1
xmlCleanupInputCallbacks;1
xmlValidateRoot;1
xmlCatalogSetDefaults;1
xmlNormalizeURIPath;1
xmlTextReaderConstXmlVersion;1
ENABLE_NAMED_LOCALS;2
xmlUCSIsCombiningDiacriticalMarksforSymbols;1
xmlTextWriterWriteDTDExternalEntityContents;1
xmlParserInputBufferRead;1
__STDC_VERSION__;5
xmlIOHTTPMatch;1
xmlGetRefs;1
xmlSAX2GetEntity;1
xmlSAX2IgnorableWhitespace;1
TRIO_EXTENSION;5
xmlStringLenDecodeEntities;1
xmlSchemaGetValType;1
PF_INET;2
xmlUCSIsCatCc;1
HAVE_STDARG_H;8
WIN32;14
xmlDOMWrapNewCtxt;1
xmlHashLookup3;1
xmlHashLookup2;1
xmlSchemaFreeValue;1
xmlUCSIsSpacingModifierLetters;1
htmlSAXParseFile;1
xmlNewCatalog;1
xmlUCSIsHighPrivateUseSurrogates;1
xmlDefaultSAXHandlerInit;1
xmlUCSIsBraillePatterns;1
LIBXML_PATTERN_ENABLED;40
xmlParseAttValue;1
