define;sd
HAVE_LIBZ;2
HAVE_SELECT;3
AI_NUMERICSERV;1
USE_BZ2LIB;1
elementsof;1
SIGTSTP;2
HAVE_SENDFILE64;1
HAVE_SOCKLEN_T;1
ENABLE_MMAP;2
HAVE_VALGRIND_VALGRIND_H;1
EAGAIN;1
USE_OPENSSL;20
HAVE_ATTR_ATTRIBUTES_H;1
TRUE;1
HAVE_STDINT_H;4
HAVE_LUA_H;4
SO_ACCEPTFILTER;1
HAVE_BZLIB_H;2
HAVE_FORK;7
HAVE_MMAP;6
SA_LEN;7
SIZEOF_OFF_T;3
DEBUG_PROC_OPEN;3
HAVE_SIGACTION;7
SSIZE_MAX;1
__CYGWIN__;4
IOV_MAX;3
HAVE_SYS_WAIT_H;1
HAVE_SYS_DEVPOLL_H;1
USE_LINUX_SENDFILE;5
USE_LIBEV;2
SIZEOF_LONG;3
__linux__;2
FD_CLOEXEC;3
HAVE_LIBEV;1
HAVE_SYS_RESOURCE_H;1
HAVE_SEND_FILE;1
HAVE_MEMCACHE_H;9
__APPLE__;2
HAVE_MYSQL;7
HAVE_SYS_MMAN_H;2
__WIN32__;4
HAVE_IPV6;13
PR_SET_DUMPABLE;1
SUN_LEN;4
HAVE_LIBSSL;2
INTERFACE;1
HAVE_FASTCGI_FASTCGI_H;4
HAVE_MADVISE;1
USE_LOCKS;2
SSL_OP_NO_COMPRESSION;1
OPENSSL_NO_TLSEXT;5
HAVE_SYS_UIO_H;4
__WIN32;26
HAVE_PORT_H;1
HAVE_SENDFILEV;1
OPENSSL_NO_DH;2
HAVE_SQLITE3_H;4
HAVE_SYS_PRCTL_H;2
__FreeBSD__;2
HAVE_LIBPCRE;2
USE_MMAP;4
SIZE_T_MAX;2
USE_SOLARIS_SENDFILEV;4
HAVE_INET_PTON;1
HAVE_FAMNOEXISTS;1
HAVE_SYS_SYSLIMITS_H;1
HAVE_STRUCT_TM_GMTOFF;6
HAVE_SYS_EPOLL_H;1
USE_LDAP;3
HAVE_LIBLBER;2
_WIN32;1
DEBUG_STAT_CACHE;2
SIZE_MAX;3
TCP_CORK;1
WIN32;5
MAP_FAILED;3
HAVE_SENDFILE;2
DEBUG;1
SSL_OP_DONT_INSERT_EMPTY_FRAGMENTS;2
HAVE_PCRE_H;11
HAVE_MEMCPY;3
__USE_GNU;1
HAVE_XATTR;1
HAVE_POLL_H;3
AF_INET;1
USE_SELECT;2
SIGTTIN;2
HAVE_GDBM;1
HAVE_SENDFILE_BROKEN;1
HAVE_SYS_SENDFILE_H;2
USE_ZLIB;1
HAVE_CRYPT_H;2
HAVE_OPENSSL_SSL_H;2
AF_INET6;1
HAVE_CRYPT;1
SSL_CTRL_SET_TLSEXT_HOSTNAME;1
__sgi;1
SHUT_WR;1
USE_PROPPATCH;2
HAVE_LBER_H;2
HAVE_GDBM_H;8
USE_ALARM;1
HAVE_STRUCT_SOCKADDR_STORAGE;4
YYERRORSYMBOL;3
HAVE_MEMSET;3
MYSQL_VERSION_ID;3
HAVE_VERSION_H;2
USE_LINUX_EPOLL;3
USE_LINUX_SIGIO;2
HAVE_SYS_EVENT_H;1
LOCAL_BUFFERING;3
HAVE_SIGNAL;2
__aix;1
USE_SOLARIS_DEVPOLL;2
HAVE_INTTYPES_H;3
HAVE_FAM_H;3
__GNUC__;4
__sun;3
HAVE_EPOLL_CTL;1
HAVE_SYS_UN_H;4
O_LARGEFILE;1
HAVE_CONFIG_H;1
USE_POLL;5
HAVE_LIBLDAP;2
HAVE_WRITEV;5
HAVE_LIBXML_H;4
USE_FREEBSD_SENDFILE;5
HAVE_LIBCRYPT;2
FALSE;1
HAVE_GETOPT_H;1
HAVE_GMTIME_R;2
HAVE_PORT_CREATE;1
TCP_DEFER_ACCEPT;1
USE_WRITEV;11
__DragonFly__;2
_XOPEN_IOV_MAX;2
HAVE_ISSETUGID;1
USE_FREEBSD_KQUEUE;2
HAVE_LSTAT;4
HAVE_SOCKADDR_SA_LEN;6
HAVE_LIBBZ2;2
HAVE_POSIX_FADVISE;2
HAVE_KQUEUE;1
HAVE_SYSLOG_H;1
HAVE_CHROOT;1
HAVE_GETUID;3
HAVE_SYS_SELECT_H;1
O_NONBLOCK;2
DEBUG_MOD_MYSQL_VHOST;1
_GNU_SOURCE;1
LIGHTTPD_STATIC;12
HAVE_PATHCONF;5
UIO_MAXIOV;7
EWOULDBLOCK;1
USE_SOLARIS_PORT;2
HAVE_LDAP_H;2
OPENSSL_VERSION_NUMBER;4
HAVE_FASTCGI_H;2
NDEBUG;7
DEBUG_ARRAY;1
HAVE_UUID_UUID_H;1
SA_SIGINFO;4
HAVE_SYS_FILIO_H;1
HAVE_ZLIB_H;2
O_BINARY;1
HAVE_GETRLIMIT;1
HAVE_PWD_H;2
PATH_MAX;2
NAME_MAX;2
OPENSSL_NO_ECDH;2
YYFALLBACK;2
uint32_t;1
HAVE_POLL;1
TEST;2
HAVE_SYS_POLL_H;1
_LARGEFILE_SOURCE;1
SIGTTOU;2
HAVE_LOCALTIME_R;4
