define;sd
HAVE_SYS_IOCCOM_H;1
HAVE_HTONLL;3
IB_RBT_TESTING;2
HAVE_CHARSET_gb2312;1
HAVE_DARWIN5_THREADS;1
HAVE_SOCKADDR_IN6_SIN6_LEN;1
USING_X;1
MAXHOSTNAMELEN;1
const;1
PCHARDONE;1
HAVE_UINT32_T;5
USE_GCOV;1
UNIV_DEBUG_PRINT;1
diff_timespec;2
DONT_ALLOW_USER_CHANGE;1
MAX;1
__BIG_ENDIAN__;1
VSTOP;3
NEED_EXPLICIT_SYNC_DIR;2
HAVE_VIO_READ_BUFF;1
CRDLY;1
__MACTYPES__;1
OPTIONS_WRITTEN_TO_BIN_LOG;1
HAVE_GETPWUID;5
WITH_NDBCLUSTER_STORAGE_ENGINE;1
PAGE_ATOMIC_REF_COUNT;2
floatstore;1
UNSAFE_LOCKING;2
HAVE_CHARSET_ascii;1
CHARBITS;2
WORD_BIT;1
HAVE_POSIX_MEMALIGN;5
HAVE_UINT;1
OLD_CODE;1
_WIN32_WCE;9
HAVE_PSI_COND_INTERFACE;2
HRT_REALTIME_METHOD;15
USEBCOPY;1
HAVE_STRINGS_H;2
HAVE_VIS;4
HAVE_ALARM;5
YY_STRUCT_YY_BUFFER_STATE;1
MYSQL_PLUGIN_IMPORT;3
CANT_OPEN_FILES_TWICE;1
MYSQL_SERVICES_INCLUDED;2
USE_PIPES;2
NO_DEFLATE;1
ECHOCTL;2
__STDC__;4
HAVE_BROKEN_GETPASS;1
YYSTYPE_IS_DECLARED;1
ANCHOR;2
__sparc;9
HAVE_SELECT_H;1
EDQUOT;1
__HOS_AIX__;1
pthread_sigmask;1
LIBC_SCCS;5
__BSD__;2
LOCK_WAIT;2
VFLUSHO;1
ENABLE_MEMCACHED_SASL_PWDB;1
HAVE_LSTAT;3
my_sigset;3
UNIV_COMPILE_TEST_FUNCS;1
GETARGMANDOC;1
_EVENT_DEFINED_TQENTRY;2
_my_base_h;1
ENOTSUP;1
WRAP;1
YY_NO_UNISTD_H;1
WANT_OLD_HEAP_VERSION;2
AES_USE_KEY_BITS;1
LL;3
HAVE_TERM_H;1
HAVE_ARPA_INET_H;1
_XOPEN_SOURCE;3
HAVE_DTRACE;2
DEBUG_PASTE;1
HAVE_VALGRIND;4
USE_ONE_SIGNAL_HAND;7
__INTEL_COMPILER;20
_FORTIFY_SOURCE;1
PSI_STAGE_CALL;1
__alpha__;2
DEBUG_ON;2
HAVE_INT16;1
TRUE;1
NO_ERRNO_H;4
_DEBUG;2
M_I386;2
USE_PTHREAD_EXTRAS;2
HAVE_PSI_STATEMENT_INTERFACE;5
HAVE_CHARSET_cp932;3
CBAUD;1
HAVE_UMEM_H;5
HAVE_GETTIMEOFDAY_H;1
HAVE_BACKTRACE_SYMBOLS;10
HAVE_MEMORY_H;1
masscomp;2
__USE_ISOC99B;1
PERROR_VERSION;1
HAVE_DECL_SHM_HUGETLB;1
HAVE_PTHREAD_MUTEXATTR_INIT;2
CREAD;1
SIZEOF_CHAR;1
HOST_NAME_MAX;1
_AIX52;11
HAVE_NCURSES_H;1
CLIENT_SETTINGS_INCLUDED;2
_BEOS_;1
PTHREAD_STACK_MIN;1
RLIM_INFINITY;1
HAVE_PATHS_H;1
YY_TYPEDEF_YY_SCANNER_T;1
HAVE_STACKTRACE;17
TAILQ_ENTRY;3
SIGNAL_HANDLER_RESET_ON_DELIVERY;6
NDEBUG;4
HAVE_LRAND48;2
_BSDI_VERSION;3
HAVE_STDARG_H;1
DEFECHO;1
WIN32;56
__386__;2
__DECC;1
HAVE_DECL_MADVISE;1
PFS_MAX_THREAD_CLASS;1
YY_TYPEDEF_YY_SIZE_T;1
Writable;1
SASL_TESTING;1
LOCK_INSERT_INTENTION;2
HAVE_CHARSET_gbk;3
MAX_BUFFER_POOLS;1
HAVE_LARGE_PAGES;6
HAVE_SCHED_GET_PRIORITY_MIN;2
OLD_HEAP_VERSION;3
__RENAME;1
DEBUG_KEY;1
__OpenBSD__;3
HAVE_SIGTHREADMASK;1
LONGLONG_MIN;1
TIOCGSIZE;1
TIME_T_UNSIGNED;3
FIONBIO;1
CLOCAL;1
CSWTCH;1
__STDC_ISO_10646__;1
__s390x__;10
FALSE;1
FIONREAD_IN_SYS_FILIO;3
INT32_MAX;2
USE_OLD_FUNCTIONS;1
ULONG_MAX;4
sigwait;6
VMS;3
HAVE_SIGWAIT;9
EILSEQ;1
HAVE_GTID_NEXT_LIST;4
__SUNPRO_CC;30
__FLOAT_WORD_ORDER;6
HAVE_CHARSET_mb2_or_mb4;1
STACK_DIRECTION;3
__attribute__;5
EXTPROC;2
HAVE_ACCESS;3
KANJI;1
HAVE_SYSEXITS_H;2
DEFAULT_THREAD_STACK;3
_m_ctype_h;1
HAVE_PWD_H;2
NOT_REALLY_USED_YET;1
NO_vsnprintf;11
HAS_vsprintf_void;3
UNIV_MEM_DEBUG;5
MYSQL_LEX;2
__GNU_LIBRARY__;1
HAVE_SYS_UIO_H;1
__SSP_ALL__;2
VINTR;3
__BEOS__;4
hpux;10
AUTHENTICATION_WIN;1
HAVE_CTHREADS_WRAPPER;4
HAVE_PTHREAD_YIELD_ONE_ARG;4
HAVE_UTIME_H;3
UINT_MAX;6
CSTOP;1
DONT_PREALLOC_SLABS;1
INLCR;1
__FLAT__;2
applec;1
HAVE_FCNTL_H;1
SHA512_DIGEST_LENGTH;1
__darwin__;2
STDCALL;1
_SYS_TREE_H_;2
CMIN;1
FIONREAD;6
__s390__;8
CPAGE;1
DNS_USE_OPENSSL_FOR_ID;5
STATIC;1
__IBMC__;1
__SC__;2
HAVE_TEMPNAM;2
HAVE_SCHED_GETCPU;1
HA_MAX_POSSIBLE_KEY;2
__dest_os;3
HAVE_STRNLEN;1
_PTRDIFF_T_DEFINED;1
_AIX43;1
yytext_ptr;1
HAVE_TERMIO_H;4
Z_PREFIX;1
HAVE_ASM_MSR_H;17
BRKINT;1
