define;sd
regexp_h_free;1
EOF;1
CTRL;1
SIGTSTP;3
MDEBUG;2
USHRT_MAX;2
__dietlibc__;2
REGEXP_H_MASK;1
VDSUSP;1
CM_N;1
DSHLIB;1
VSUSP;1
CM_D;1
SIGXFSZ;1
CM_B;1
ADEBUG;1
NO_BE_BACKSLASH;2
REGEXP_H_STAKBLOK;1
ISO8859_1;6
IDEBUG;1
FNSIZE;4
signal;1
CM_GT;1
UXRE;6
debug;6
O_NOFOLLOW;2
SA_INTERRUPT;1
TIOCGWINSZ;3
SIGWINCH;1
LANGMSG;4
_CRAY;1
TIOCLGET;1
ESIZE;3
VREPRINT;1
LIBUXRE_W_TYPE;1
SIGEMT;1
CHARCLASS_NAME_MAX;1
LIBUXRE_WUCHAR_T;1
SA_RESTART;1
LARGEF;6
UCVISUAL;4
MB_LEN_MAX;1
debugprint;2
MAP_FAILED;1
LISPCODE;3
REGDEBUG;1
DEBUG;1
MAP_ANON;4
VFORK;2
putchar;1
TRACE;15
MB;9
u370;10
MB_CUR_MAX;2
mbb;2
BEEHIVE;1
_PC_VDISABLE;4
printf;1
getchar;1
__STDC__;1
_SC_JOB_CONTROL;1
pdp11;2
VSTATUS;1
__GNUC__;5
var;1
MAP_ANONYMOUS;2
FASTTAG;5
vprintf;1
REGEXP_H_STEP_INIT;1
_POSIX_PATH_MAX;2
lint;5
notdef;9
TDEBUG;1
VDISCRD;1
BUFSIZ;10
BIT8;15
IUCLC;1
_SC_PAGESIZE;2
regexp_h_inline;1
MAXNAMLEN;5
REGEXP_H_USED_FROM_VI;1
REGEXP_H_WCHARS;8
longdebug;2
REG_ICASE;1
TABS;1
RDEBUG;1
regexp_h_malloc;1
UCBV7;2
REGEXP_H_VI_BACKSLASH;2
NULL;2
LONG_BIT;4
COLL_WEIGHTS_MAX;1
VWERASE;1
VMUNIX;41
V6;2
VSTART;1
DOSCCS;2
VLNEXT;1
CHDIR;2
LINE_MAX;12
__cplusplus;1
MAXBSIZE;1
HAS_JOB_CONTROL;3
EXSTRINGS;1
S_IFSOCK;1
REGEXP_H_ADVANCE_INIT;1
S_IFIFO;1
EATQS;1
regexp_h_static;1
__GNUC_MINOR__;3
LIBUXRE_STATIC;1
XTABS;2
TAB3;3
EXPRESERVE;1
INCORB;1
NAME_MAX;2
OLD3BTTY;1
